species,name,group
Dog,Pointer/Blue Lacy,Sporting; Herding
Dog,Collie Smooth/Jack Russell Terrier,Herding; Terrier
Dog,Border Terrier/Bruss Griffon,Toy; Terrier
Dog,Jack Russell Terrier/Basenji,Hound; Terrier
Dog,Pomeranian/Chihuahua Longhair,Toy
Dog,Patterdale Terr Mix,Terrier
Dog,Australian Cattle Dog/Anatol Shepherd,Herding; Working
Dog,Basset Hound/Pit Bull,Hound; Terrier
Dog,Sphynx,Non-Sporting
Dog,Boxer/Redbone Hound,Hound; Working
Dog,Chinese Sharpei/Border Collie,Herding; Toy
Dog,Pekingese/Dachshund,Hound; Toy
Dog,Plott Hound/Blue Lacy,Herding; Hound
Dog,Wire Hair Fox Terrier/Chihuahua Shorthair,Toy; Terrier
Dog,Miniature Schnauzer/Lhasa Apso,Non-Sporting; Terrier
Dog,Staffordshire Mix,Terrier
Dog,Golden Retriever/Great Pyrenees,Sporting; Working
Dog,Pomeranian Mix,Toy
Dog,Miniature Schnauzer/Labrador Retriever,Sporting; Terrier
Dog,Shih Tzu/Miniature Schnauzer,Toy; Terrier
Dog,Beagle/Parson Russell Terrier,Hound; Terrier
Dog,Maltese Mix,Toy
Dog,Dalmatian/Boxer,Non-Sporting; Working
Dog,Airedale Terrier/Irish Terrier,Terrier
Dog,Border Terrier/Yorkshire Terrier,Toy; Terrier
Dog,Golden Retriever/Labrador Retriever,Sporting
Dog,Dachshund Longhair/Australian Shepherd,Herding; Hound
Dog,Australian Kelpie/Rat Terrier,Terrier
Dog,Chinese Sharpei/American Staffordshire Terrier,Toy; Terrier
Dog,Dachshund Longhair/Chihuahua Longhair,Toy; Hound
Dog,Ibizan Hound/Pit Bull,Hound; Terrier
Dog,Collie Rough/Pembroke Welsh Corgi,Herding
Dog,Boerboel,Working
Dog,Dachshund/Manchester Terrier,Toy; Hound; Terrier
Dog,Japanese Chin,Toy
Dog,Alaskan Husky/German Shepherd,Herding; Working
Dog,Boxer/Cardigan Welsh Corgi,Herding; Working
Dog,Black Mouth Cur/Labrador Retriever,Sporting; Hound
Dog,Whippet/Australian Cattle Dog,Herding; Hound
Dog,Rottweiler/Doberman Pinsch,Working
Dog,Miniature Poodle/Chihuahua Shorthair,Toy
Dog,Spanish Mastiff Mix,Working
Dog,Scottish Terrier,Terrier
Dog,Jack Russell Terrier/Boston Terrier,Non-Sporting; Terrier
Dog,Lhasa Apso/Yorkshire Terrier,Non-Sporting; Toy
Dog,Mastiff/German Shepherd,Herding; Working
Dog,Maltese/Cocker Spaniel,Sporting; Toy
Dog,Shetland Sheepdog/Border Collie,Herding
Dog,Greyhound/Airedale Terrier,Hound; Terrier
Dog,Australian Shepherd/Nova Scotia Duck Tolling Retriever,Herding; Sporting
Dog,Australian Cattle Dog/Dalmatian,Non-Sporting; Herding
Dog,Newfoundland/Border Collie,Herding; Working
Dog,Blue Lacy,Herding
Dog,Norfolk Terrier/Yorkshire Terrier,Toy; Terrier
Dog,Port Water Dog Mix,Working
Dog,Pit Bull,Terrier
Dog,Dogue De Bordeaux/Labrador Retriever,Sporting; Working
Dog,Catahoula/Treeing Walker Coonhound,Hound; Toy
Dog,American Bulldog/Basset Hound,Hound
Dog,Patterdale Terr/Chihuahua Shorthair,Toy; Terrier
Dog,Australian Kelpie/Dachshund,Hound; Terrier
Dog,Welsh Springer Spaniel Mix,Sporting
Dog,Lowchen/Miniature Poodle,Non-Sporting; Toy
Dog,Australian Cattle Dog/Bloodhound,Herding; Hound
Dog,Whippet/Australian Kelpie,Hound; Terrier
Dog,Australian Kelpie/Miniature Pinscher,Toy; Terrier
Dog,Wire Hair Fox Terrier/Beagle,Hound; Terrier
Dog,Bichon Frise/Miniature Poodle,Non-Sporting; Toy
Dog,American Pit Bull Terrier,Terrier
Dog,English Pointer/Labrador Retriever,Sporting
Dog,Pit Bull/Doberman Pinsch,Terrier; Working
Dog,Plott Hound/Rhod Ridgeback,Hound
Dog,Jack Russell Terrier/Dachshund,Hound; Terrier
Dog,Smooth Fox Terrier/Rat Terrier,Terrier
Dog,Great Pyrenees/Golden Retriever,Sporting; Working
Dog,Boxer/Australian Cattle Dog,Herding; Working
Dog,Shiba Inu/Dachshund,Non-Sporting; Hound
Dog,Mastiff/Labrador Retriever,Sporting; Working
Dog,Queensland Heeler/Basset Hound,Herding; Hound
Dog,Blue Lacy/Pit Bull,Herding; Terrier
Dog,Presa Canario,Working
Dog,Pug/Beagle,Hound; Toy
Dog,Bulldog/Pit Bull,Non-Sporting; Terrier
Dog,Border Collie/Dalmatian,Non-Sporting; Herding
